Customer ID,frequency,monetary_total,n_purchase_days,n_orders_items,recency,tenure_days,customer_age,aov,rev_30d,rev_90d,rev_180d,rev_365d,revenue_growth_rate,revenue_trend_ratio,freq_rate,maturity,recent_ratio,avg_basket_rev,avg_basket_qty,avg_uniq_prods,max_order,order_cv,n_orders,q4_frac,weekend_ratio,fav_dow,n_countries,is_uk,cancel_count,return_rate,actual_holdout,pred_3stage,pred_xgb,p_buy,pred_tier,segment,health_score,health_grade
12346.0,11,372.86,7,70,155,197,351,33.89636363636364,0.0,0.0,142.31,372.86,0.0,0.0,0.05555555555555555,0.019886363636363636,0.0,33.89636363636364,6.363636363636363,3.0,142.31,1.0689595770307028,11,0.3035895789867865,0.0,0,1,1,5.0,0.4166666666666667,77183.6,65602.18855208484,71654.49,0.8509645,2,VIP,14.4,F
12347.0,1,611.53,1,509,30,1,30,611.53,0.0,611.53,611.53,611.53,0.0,0.0,0.5,0.03225806451612903,0.9983674269015396,611.53,509.0,40.0,611.53,0.0,1,0.9983674269015396,1.0,6,1,0,0.0,0.0,1823.43,727.497766602457,265.41693,0.40455943,2,Growth,20.3,D
12348.0,1,221.16,1,372,64,1,64,221.16,0.0,221.16,221.16,221.16,0.0,0.0,0.5,0.015384615384615385,0.9954987396471012,221.16,372.0,19.0,221.16,0.0,1,0.0,0.0,0,1,0,0.0,0.0,1167.24,546.4209490704525,108.88526,0.47706902,2,Growth,18.3,F
12349.0,2,2221.14,2,991,33,182,215,1110.57,0.0,1152.62,1152.62,2221.14,0.0,0.0,0.01092896174863388,0.009259259259259259,0.5186981918330978,1110.57,495.5,50.0,1152.62,0.0534988172564828,2,0.5186981918330977,0.0,3,1,0,1.0,0.3333333333333333,0.0,644.7399921735632,612.4465,0.41366744,2,Growth,20.5,D
12351.0,1,300.93,1,261,1,1,1,300.93,300.93,300.93,300.93,300.93,0.0,0.0,0.5,0.5,0.9966879740337165,300.93,261.0,21.0,300.93,0.0,1,0.9966879740337165,0.0,0,1,0,0.0,0.0,0.0,42.78096354035711,133.75377,0.19316585,0,At Risk,21.8,D
12352.0,2,343.8,2,188,1,17,18,171.9,343.8,343.8,343.8,343.8,0.0,0.0,0.1111111111111111,0.10526315789473684,0.9970997679814385,171.9,94.0,9.0,200.05,0.23024934517526105,2,0.9970997679814385,0.0,0,1,0,3.0,1.0,641.51,613.6065581406729,473.93954,0.9523514,1,Growth,22.0,D
12353.0,1,317.76,1,192,34,1,34,317.76,0.0,317.76,317.76,317.76,0.0,0.0,0.5,0.02857142857142857,0.9968628435186347,317.76,192.0,20.0,317.76,0.0,1,0.9968628435186347,0.0,2,1,0,0.0,0.0,89.0,40.837029020628506,96.540726,0.4039373,0,Growth,20.0,D
12355.0,1,488.21000000000004,1,303,193,1,193,488.21000000000004,0.0,0.0,0.0,488.21000000000004,0.0,0.0,0.5,0.005154639175257732,0.0,488.21000000000004,303.0,22.0,488.21000000000004,0.0,1,0.0,0.0,4,1,0,0.0,0.0,459.4,169.12820735246532,136.95004,0.37405345,1,Growth,11.2,F
12356.0,3,3124.3,3,1803,6,45,50,1041.4333333333334,2325.86,3124.3,3124.3,3124.3,0.0,0.0,0.06521739130434782,0.058823529411764705,0.9996800307170511,1041.4333333333334,601.0,26.666666666666668,1977.96,0.8074943280819683,3,0.9996800307170511,0.0,0,1,0,0.0,0.0,2429.08,2439.4893545726663,2493.3347,0.9174316,2,High Value,22.6,D
12357.0,1,11229.99,1,3878,14,1,14,11229.99,11229.99,11229.99,11229.99,11229.99,0.0,0.0,0.5,0.06666666666666667,0.9999109606544035,11229.99,3878.0,164.0,11229.99,0.0,1,0.9999109606544035,0.0,1,1,0,0.0,0.0,0.0,1348.9379629154428,436.28125,0.1275327,2,At Risk,24.3,D
12358.0,3,2519.01,3,826,1,357,357,839.6700000000001,821.08,821.08,1089.18,2519.01,2.0549238201412114,3.0549238201412114,0.008379888268156424,0.008379888268156424,0.3258241038726037,839.6700000000001,275.3333333333333,18.666666666666668,1429.83,0.6912201755891427,3,0.8932147094654387,0.0,0,1,0,0.0,0.0,0.0,411.12250412454887,296.86127,0.2993334,2,At Risk,26.1,D
12359.0,6,2563.36,6,1130,51,309,360,427.2266666666667,0.0,551.33,1041.13,2563.36,0.12536674816625923,1.1253667481662593,0.01935483870967742,0.01662049861495845,0.21499711428972532,427.2266666666667,188.33333333333334,19.5,760.69,0.5396363365188277,6,0.542131370010451,0.5384615384615384,1,1,0,4.0,0.5714285714285714,2386.41,2136.445338838137,895.9746,0.91124123,2,High Value,20.1,D
12360.0,3,1310.83,3,1287,18,264,281,436.9433333333333,690.79,690.79,690.79,1310.83,0.0,0.0,0.011320754716981131,0.010638297872340425,0.5265849995807383,436.9433333333333,429.0,28.333333333333332,690.79,0.666503733320275,3,0.5265849995807385,0.0,4,1,0,1.0,0.25,923.5799999999999,970.7347046560608,415.74155,0.8492174,2,Growth,21.3,D
12361.0,3,276.35,3,141,88,221,308,92.11666666666667,0.0,99.0,99.0,276.35,0.0,0.0,0.013513513513513514,0.009708737864077669,0.3569497025419145,92.11666666666667,47.0,5.333333333333333,99.0,0.08728600223893793,3,0.0,0.3125,1,1,0,0.0,0.0,174.9,104.91692068466364,97.29626,0.59785724,0,Growth,17.2,F
12366.0,1,500.24,1,296,259,1,259,500.24,0.0,0.0,0.0,500.24,0.0,0.0,0.5,0.0038461538461538464,0.0,500.24,296.0,3.0,500.24,0.0,1,0.0,0.0,1,1,0,0.0,0.0,0.0,118.00577895550305,127.58446,0.19308761,1,At Risk,7.6,F
12368.0,1,917.6999999999999,1,330,254,1,254,917.6999999999999,0.0,0.0,0.0,917.6999999999999,0.0,0.0,0.5,0.00392156862745098,0.0,917.6999999999999,330.0,18.0,917.6999999999999,0.0,1,0.0,1.0,6,1,0,0.0,0.0,0.0,109.29400965755985,175.10478,0.21647243,1,At Risk,7.9,F
12369.0,3,1511.15,3,1234,39,229,267,503.7166666666667,0.0,1202.83,1202.83,1511.15,0.0,0.0,0.013043478260869565,0.011194029850746268,0.7954435737195383,503.71666666666664,411.3333333333333,30.0,1059.48,0.967517213660312,3,0.09479879641569951,0.0,3,1,0,0.0,0.0,0.0,586.4965095924708,530.93475,0.4719706,2,Growth,20.3,D
12370.0,3,534.62,2,246,250,45,294,178.20666666666668,0.0,0.0,0.0,534.62,0.0,0.0,0.06521739130434782,0.006779661016949152,0.0,178.20666666666668,82.0,10.666666666666666,402.96,1.1037797958911613,3,0.0,0.0,1,1,0,0.0,0.0,2682.66,1347.372476222372,386.27954,0.5260693,2,Growth,8.3,F
12371.0,3,1819.42,2,836,35,236,271,606.4733333333334,0.0,1331.74,1331.74,1819.42,0.0,0.0,0.012658227848101266,0.007352941176470588,0.7315564540051197,606.4733333333334,278.6666666666667,33.666666666666664,1331.74,1.0339652755764746,3,0.7315564540051198,0.0,1,1,0,0.0,0.0,0.0,139.77014051610604,437.43585,0.25055313,1,At Risk,20.5,D
12373.0,2,603.0500000000001,2,315,250,50,299,301.52500000000003,0.0,0.0,0.0,603.0500000000001,0.0,0.0,0.0392156862745098,0.006666666666666667,0.0,301.52500000000003,157.5,17.5,357.90000000000003,0.26353620222719853,2,0.0,0.0,3,1,0,0.0,0.0,324.6,134.02666733790102,128.50645,0.43873125,0,Growth,8.2,F
12374.0,2,2046.29,2,1015,47,167,214,1023.145,0.0,657.75,657.75,2046.29,0.0,0.0,0.011904761904761904,0.009302325581395349,0.32127837287340827,1023.145,507.5,24.5,1388.54,0.5045638699825874,2,0.32127837287340827,0.0,4,1,0,0.0,0.0,0.0,234.21980186082874,272.89532,0.37047508,1,Growth,19.6,F
12376.0,2,383.15,2,237,15,29,43,191.575,30.599999999999998,383.15,383.15,383.15,0.0,0.0,0.06666666666666667,0.045454545454545456,0.9973968501887284,191.57500000000002,118.5,5.5,352.55,1.182152554604746,2,0.9973968501887284,0.0,0,1,0,0.0,0.0,0.0,63.73170543833112,204.82533,0.40053463,0,Growth,21.2,D
12377.0,2,1718.2,2,1159,7,209,215,859.1,507.24,507.24,507.24,1718.2,0.0,0.0,0.009523809523809525,0.009259259259259259,0.2950442066077245,859.1,579.5,37.0,1210.96,0.5785434066464332,2,0.2950442066077245,0.0,3,1,0,0.0,0.0,1548.12,1020.4173256805807,387.0924,0.6842225,2,Growth,21.8,D
